"","gene_id","gene_type","gene_short_name","chr"
"ENSMUSG00000101314","ENSMUSG00000101314","lincRNA","Gm29663","chr1"
"ENSMUSG00000016918","ENSMUSG00000016918","protein_coding","Sulf1","chr1"
"ENSMUSG00000025938","ENSMUSG00000025938","protein_coding","Slco5a1","chr1"
"ENSMUSG00000099498","ENSMUSG00000099498","lincRNA","Gm29283","chr1"
"ENSMUSG00000042414","ENSMUSG00000042414","protein_coding","Prdm14","chr1"
"ENSMUSG00000005886","ENSMUSG00000005886","protein_coding","Ncoa2","chr1"
"ENSMUSG00000025935","ENSMUSG00000025935","protein_coding","Tram1","chr1"
"ENSMUSG00000025937","ENSMUSG00000025937","protein_coding","Lactb2","chr1"
"ENSMUSG00000067813","ENSMUSG00000067813","protein_coding","Xkr9","chr1"
"ENSMUSG00000025932","ENSMUSG00000025932","protein_coding","Eya1","chr1"
"ENSMUSG00000025930","ENSMUSG00000025930","protein_coding","Msc","chr1"
"ENSMUSG00000032769","ENSMUSG00000032769","protein_coding","Trpa1","chr1"
"ENSMUSG00000092083","ENSMUSG00000092083","protein_coding","Kcnb2","chr1"
"ENSMUSG00000025925","ENSMUSG00000025925","protein_coding","Terf1","chr1"
"ENSMUSG00000032719","ENSMUSG00000032719","protein_coding","Sbspon","chr1"
"ENSMUSG00000067795","ENSMUSG00000067795","protein_coding","4930444P10Rik","chr1"
"ENSMUSG00000043716","ENSMUSG00000043716","protein_coding","Rpl7","chr1"
"ENSMUSG00000025921","ENSMUSG00000025921","protein_coding","Rdh10","chr1"
"ENSMUSG00000025920","ENSMUSG00000025920","protein_coding","Stau2","chr1"
"ENSMUSG00000025939","ENSMUSG00000025939","protein_coding","Ube2w","chr1"
"ENSMUSG00000079658","ENSMUSG00000079658","protein_coding","Tceb1","chr1"
"ENSMUSG00000097744","ENSMUSG00000097744","lincRNA","D030040B21Rik","chr1"
"ENSMUSG00000025940","ENSMUSG00000025940","protein_coding","Tmem70","chr1"
"ENSMUSG00000025779","ENSMUSG00000025779","protein_coding","Ly96","chr1"
"ENSMUSG00000042686","ENSMUSG00000042686","protein_coding","Jph1","chr1"
"ENSMUSG00000100110","ENSMUSG00000100110","lincRNA","Gm28783","chr1"
"ENSMUSG00000025777","ENSMUSG00000025777","protein_coding","Gdap1","chr1"
"ENSMUSG00000099899","ENSMUSG00000099899","lincRNA","Gm28784","chr1"
"ENSMUSG00000067780","ENSMUSG00000067780","protein_coding","Pi15","chr1"
"ENSMUSG00000025776","ENSMUSG00000025776","protein_coding","Crispld1","chr1"
"ENSMUSG00000025774","ENSMUSG00000025774","protein_coding","Crisp4","chr1"
"ENSMUSG00000073735","ENSMUSG00000073735","protein_coding","Defb18","chr1"
"ENSMUSG00000067773","ENSMUSG00000067773","protein_coding","Defb41","chr1"
"ENSMUSG00000042596","ENSMUSG00000042596","protein_coding","Tfap2d","chr1"
"ENSMUSG00000025927","ENSMUSG00000025927","protein_coding","Tfap2b","chr1"
"ENSMUSG00000100538","ENSMUSG00000100538","lincRNA","Gm28340","chr1"
"ENSMUSG00000043760","ENSMUSG00000043760","protein_coding","Pkhd1","chr1"
"ENSMUSG00000099906","ENSMUSG00000099906","lincRNA","Gm28653","chr1"
"ENSMUSG00000025929","ENSMUSG00000025929","protein_coding","Il17a","chr1"
"ENSMUSG00000041872","ENSMUSG00000041872","protein_coding","Il17f","chr1"
"ENSMUSG00000041859","ENSMUSG00000041859","protein_coding","Mcm3","chr1"
"ENSMUSG00000102121","ENSMUSG00000102121","lincRNA","Gm28065","chr1"
"ENSMUSG00000097934","ENSMUSG00000097934","lincRNA","6720483E21Rik","chr1"
"ENSMUSG00000025931","ENSMUSG00000025931","protein_coding","Paqr8","chr1"
"ENSMUSG00000041809","ENSMUSG00000041809","protein_coding","Efhc1","chr1"
"ENSMUSG00000041779","ENSMUSG00000041779","protein_coding","Tram2","chr1"
"ENSMUSG00000025933","ENSMUSG00000025933","protein_coding","Tmem14a","chr1"
"ENSMUSG00000025934","ENSMUSG00000025934","protein_coding","Gsta3","chr1"
"ENSMUSG00000067750","ENSMUSG00000067750","protein_coding","Khdc1a","chr1"
"ENSMUSG00000041722","ENSMUSG00000041722","protein_coding","Khdc1c","chr1"
"ENSMUSG00000085079","ENSMUSG00000085079","protein_coding","Khdc1b","chr1"
"ENSMUSG00000028033","ENSMUSG00000028033","protein_coding","Kcnq5","chr1"
"ENSMUSG00000097109","ENSMUSG00000097109","lincRNA","Gm26580","chr1"
"ENSMUSG00000041670","ENSMUSG00000041670","protein_coding","Rims1","chr1"
"ENSMUSG00000073730","ENSMUSG00000073730","protein_coding","4933415F23Rik","chr1"
"ENSMUSG00000097970","ENSMUSG00000097970","lincRNA","Gm27028","chr1"
"ENSMUSG00000100775","ENSMUSG00000100775","lincRNA","Gm29107","chr1"
"ENSMUSG00000026158","ENSMUSG00000026158","protein_coding","Ogfrl1","chr1"
"ENSMUSG00000099503","ENSMUSG00000099503","lincRNA","Gm28822","chr1"
"ENSMUSG00000026156","ENSMUSG00000026156","protein_coding","B3gat2","chr1"
"ENSMUSG00000026155","ENSMUSG00000026155","protein_coding","Smap1","chr1"
"ENSMUSG00000026154","ENSMUSG00000026154","protein_coding","Sdhaf4","chr1"
"ENSMUSG00000026153","ENSMUSG00000026153","protein_coding","Fam135a","chr1"
"ENSMUSG00000026147","ENSMUSG00000026147","protein_coding","Col9a1","chr1"
"ENSMUSG00000026141","ENSMUSG00000026141","protein_coding","Col19a1","chr1"
"ENSMUSG00000073725","ENSMUSG00000073725","protein_coding","Lmbrd1","chr1"
"ENSMUSG00000100483","ENSMUSG00000100483","lincRNA","Gm28237","chr1"
"ENSMUSG00000099392","ENSMUSG00000099392","lincRNA","Gm29414","chr1"
"ENSMUSG00000033569","ENSMUSG00000033569","protein_coding","Adgrb3","chr1"
"ENSMUSG00000073722","ENSMUSG00000073722","protein_coding","4931408C20Rik","chr1"
"ENSMUSG00000101514","ENSMUSG00000101514","lincRNA","Gm5524","chr1"
"ENSMUSG00000048411","ENSMUSG00000048411","protein_coding","Gm597","chr1"
"ENSMUSG00000053185","ENSMUSG00000053185","lincRNA","Gm9898","chr1"
"ENSMUSG00000048874","ENSMUSG00000048874","protein_coding","Phf3","chr1"
"ENSMUSG00000026064","ENSMUSG00000026064","protein_coding","Ptp4a1","chr1"
"ENSMUSG00000100371","ENSMUSG00000100371","lincRNA","Gm29669","chr1"
"ENSMUSG00000100237","ENSMUSG00000100237","lincRNA","Gm28644","chr1"
"ENSMUSG00000086727","ENSMUSG00000086727","protein_coding","4931428L18Rik","chr1"
"ENSMUSG00000050217","ENSMUSG00000050217","protein_coding","Lgsn","chr1"
"ENSMUSG00000026063","ENSMUSG00000026063","protein_coding","Pih1d3","chr1"
"ENSMUSG00000026058","ENSMUSG00000026058","protein_coding","Khdrbs2","chr1"
"ENSMUSG00000091318","ENSMUSG00000091318","protein_coding","Gm5415","chr1"
"ENSMUSG00000102917","ENSMUSG00000102917","lincRNA","Gm37724","chr1"
"ENSMUSG00000104230","ENSMUSG00000104230","lincRNA","Gm37591","chr1"
"ENSMUSG00000026134","ENSMUSG00000026134","protein_coding","Prim2","chr1"
"ENSMUSG00000004768","ENSMUSG00000004768","protein_coding","Rab23","chr1"
"ENSMUSG00000042215","ENSMUSG00000042215","protein_coding","Bag2","chr1"
"ENSMUSG00000042197","ENSMUSG00000042197","protein_coding","Zfp451","chr1"
"ENSMUSG00000042182","ENSMUSG00000042182","protein_coding","Bend6","chr1"
"ENSMUSG00000026131","ENSMUSG00000026131","protein_coding","Dst","chr1"
"ENSMUSG00000104397","ENSMUSG00000104397","lincRNA","Gm37958","chr1"
"ENSMUSG00000102336","ENSMUSG00000102336","lincRNA","Gm37233","chr1"
"ENSMUSG00000042111","ENSMUSG00000042111","protein_coding","Ccdc115","chr1"
"ENSMUSG00000026127","ENSMUSG00000026127","protein_coding","Imp4","chr1"
"ENSMUSG00000026126","ENSMUSG00000026126","protein_coding","Ptpn18","chr1"
"ENSMUSG00000101223","ENSMUSG00000101223","lincRNA","4930568A12Rik","chr1"
"ENSMUSG00000026125","ENSMUSG00000026125","protein_coding","Prss39","chr1"
"ENSMUSG00000026124","ENSMUSG00000026124","protein_coding","Cfc1","chr1"
"ENSMUSG00000037529","ENSMUSG00000037529","protein_coding","Prss40","chr1"
"ENSMUSG00000045174","ENSMUSG00000045174","protein_coding","Amer3","chr1"
"ENSMUSG00000037509","ENSMUSG00000037509","protein_coding","Arhgef4","chr1"
"ENSMUSG00000037503","ENSMUSG00000037503","protein_coding","Fam168b","chr1"
"ENSMUSG00000026123","ENSMUSG00000026123","protein_coding","Plekhb2","chr1"
"ENSMUSG00000104417","ENSMUSG00000104417","lincRNA","Gm37068","chr1"
"ENSMUSG00000101714","ENSMUSG00000101714","lincRNA","Gm28415","chr1"
"ENSMUSG00000102531","ENSMUSG00000102531","lincRNA","1110002O04Rik","chr1"
"ENSMUSG00000102279","ENSMUSG00000102279","lincRNA","Gm37146","chr1"
"ENSMUSG00000103708","ENSMUSG00000103708","lincRNA","Gm33222","chr1"
"ENSMUSG00000104201","ENSMUSG00000104201","lincRNA","4930535G08Rik","chr1"
"ENSMUSG00000045216","ENSMUSG00000045216","protein_coding","Hs6st1","chr1"
"ENSMUSG00000102202","ENSMUSG00000102202","lincRNA","Gm33280","chr1"
"ENSMUSG00000037470","ENSMUSG00000037470","protein_coding","Uggt1","chr1"
"ENSMUSG00000047180","ENSMUSG00000047180","protein_coding","Neurl3","chr1"
"ENSMUSG00000037447","ENSMUSG00000037447","protein_coding","Arid5a","chr1"
"ENSMUSG00000102762","ENSMUSG00000102762","lincRNA","4930403P22Rik","chr1"
"ENSMUSG00000010453","ENSMUSG00000010453","protein_coding","Kansl3","chr1"
"ENSMUSG00000037432","ENSMUSG00000037432","protein_coding","Fer1l5","chr1"
"ENSMUSG00000001143","ENSMUSG00000001143","protein_coding","Lman2l","chr1"
"ENSMUSG00000037408","ENSMUSG00000037408","protein_coding","Cnnm4","chr1"
"ENSMUSG00000001138","ENSMUSG00000001138","protein_coding","Cnnm3","chr1"
"ENSMUSG00000067653","ENSMUSG00000067653","protein_coding","Ankrd23","chr1"
"ENSMUSG00000109510","ENSMUSG00000109510","protein_coding","Gm42417","chr1"
"ENSMUSG00000079610","ENSMUSG00000079610","protein_coding","Ankrd39","chr1"
"ENSMUSG00000026121","ENSMUSG00000026121","protein_coding","Sema4c","chr1"
"ENSMUSG00000046337","ENSMUSG00000046337","protein_coding","Fam178b","chr1"
"ENSMUSG00000061518","ENSMUSG00000061518","protein_coding","Cox5b","chr1"
"ENSMUSG00000037351","ENSMUSG00000037351","protein_coding","Actr1b","chr1"
"ENSMUSG00000102416","ENSMUSG00000102416","protein_coding","4933424G06Rik","chr1"
"ENSMUSG00000104237","ENSMUSG00000104237","lincRNA","Gm33533","chr1"
"ENSMUSG00000026117","ENSMUSG00000026117","protein_coding","Zap70","chr1"
"ENSMUSG00000026116","ENSMUSG00000026116","protein_coding","Tmem131","chr1"
"ENSMUSG00000050122","ENSMUSG00000050122","protein_coding","Vwa3b","chr1"
"ENSMUSG00000026114","ENSMUSG00000026114","protein_coding","Cnga3","chr1"
"ENSMUSG00000026113","ENSMUSG00000026113","protein_coding","Inpp4a","chr1"
"ENSMUSG00000026112","ENSMUSG00000026112","protein_coding","Coa5","chr1"
"ENSMUSG00000026111","ENSMUSG00000026111","protein_coding","Unc50","chr1"
"ENSMUSG00000026110","ENSMUSG00000026110","protein_coding","Mgat4a","chr1"
"ENSMUSG00000026090","ENSMUSG00000026090","protein_coding","2010300C02Rik","chr1"
"ENSMUSG00000060771","ENSMUSG00000060771","protein_coding","Tsga10","chr1"
"ENSMUSG00000037216","ENSMUSG00000037216","protein_coding","Lipt1","chr1"
"ENSMUSG00000026088","ENSMUSG00000026088","protein_coding","Mitd1","chr1"
"ENSMUSG00000026087","ENSMUSG00000026087","protein_coding","Mrpl30","chr1"
"ENSMUSG00000061584","ENSMUSG00000061584","protein_coding","Lyg2","chr1"
"ENSMUSG00000026085","ENSMUSG00000026085","protein_coding","Lyg1","chr1"
"ENSMUSG00000058407","ENSMUSG00000058407","protein_coding","Txndc9","chr1"
"ENSMUSG00000026083","ENSMUSG00000026083","protein_coding","Eif5b","chr1"
"ENSMUSG00000026082","ENSMUSG00000026082","protein_coding","Rev1","chr1"
"ENSMUSG00000102716","ENSMUSG00000102716","lincRNA","Gm5099","chr1"
"ENSMUSG00000037138","ENSMUSG00000037138","protein_coding","Aff3","chr1"
"ENSMUSG00000048814","ENSMUSG00000048814","protein_coding","Lonrf2","chr1"
"ENSMUSG00000026080","ENSMUSG00000026080","protein_coding","Chst10","chr1"
"ENSMUSG00000067604","ENSMUSG00000067604","protein_coding","Nms","chr1"
"ENSMUSG00000026078","ENSMUSG00000026078","protein_coding","Pdcl3","chr1"
"ENSMUSG00000104188","ENSMUSG00000104188","lincRNA","Gm37821","chr1"
"ENSMUSG00000026077","ENSMUSG00000026077","protein_coding","Npas2","chr1"
"ENSMUSG00000073702","ENSMUSG00000073702","protein_coding","Rpl31","chr1"
"ENSMUSG00000003134","ENSMUSG00000003134","protein_coding","Tbc1d8","chr1"
"ENSMUSG00000003135","ENSMUSG00000003135","protein_coding","Cnot11","chr1"
"ENSMUSG00000048234","ENSMUSG00000048234","protein_coding","Rnf149","chr1"
"ENSMUSG00000050967","ENSMUSG00000050967","protein_coding","Creg2","chr1"
"ENSMUSG00000057173","ENSMUSG00000057173","protein_coding","Rfx8","chr1"
"ENSMUSG00000091937","ENSMUSG00000091937","protein_coding","Gm3646","chr1"
"ENSMUSG00000101634","ENSMUSG00000101634","lincRNA","1700066B17Rik","chr1"
"ENSMUSG00000026074","ENSMUSG00000026074","protein_coding","Map4k4","chr1"
"ENSMUSG00000026073","ENSMUSG00000026073","protein_coding","Il1r2","chr1"
"ENSMUSG00000026072","ENSMUSG00000026072","protein_coding","Il1r1","chr1"
"ENSMUSG00000070942","ENSMUSG00000070942","protein_coding","Il1rl2","chr1"
"ENSMUSG00000026069","ENSMUSG00000026069","protein_coding","Il1rl1","chr1"
"ENSMUSG00000026070","ENSMUSG00000026070","protein_coding","Il18r1","chr1"
"ENSMUSG00000026068","ENSMUSG00000026068","protein_coding","Il18rap","chr1"
"ENSMUSG00000026065","ENSMUSG00000026065","protein_coding","Slc9a4","chr1"
"ENSMUSG00000026062","ENSMUSG00000026062","protein_coding","Slc9a2","chr1"
"ENSMUSG00000041945","ENSMUSG00000041945","protein_coding","Mfsd9","chr1"
"ENSMUSG00000079588","ENSMUSG00000079588","protein_coding","Tmem182","chr1"
"ENSMUSG00000104072","ENSMUSG00000104072","lincRNA","4930448I06Rik","chr1"
"ENSMUSG00000100185","ENSMUSG00000100185","lincRNA","Gm28634","chr1"
"ENSMUSG00000100832","ENSMUSG00000100832","lincRNA","Gm29260","chr1"
"ENSMUSG00000053640","ENSMUSG00000053640","lincRNA","Gm9915","chr1"
"ENSMUSG00000101919","ENSMUSG00000101919","lincRNA","Gm29664","chr1"
"ENSMUSG00000101299","ENSMUSG00000101299","lincRNA","Gm28175","chr1"
"ENSMUSG00000100180","ENSMUSG00000100180","lincRNA","Gm28140","chr1"
"ENSMUSG00000060424","ENSMUSG00000060424","lincRNA","Pantr1","chr1"
"ENSMUSG00000045515","ENSMUSG00000045515","protein_coding","Pou3f3","chr1"
"ENSMUSG00000099784","ENSMUSG00000099784","lincRNA","Dalir","chr1"
"ENSMUSG00000060679","ENSMUSG00000060679","protein_coding","Mrps9","chr1"
"ENSMUSG00000041907","ENSMUSG00000041907","protein_coding","Gpr45","chr1"
"ENSMUSG00000070939","ENSMUSG00000070939","protein_coding","Tgfbrap1","chr1"
"ENSMUSG00000010290","ENSMUSG00000010290","protein_coding","AI597479","chr1"
"ENSMUSG00000008136","ENSMUSG00000008136","protein_coding","Fhl2","chr1"
"ENSMUSG00000099576","ENSMUSG00000099576","lincRNA","Gm29040","chr1"
"ENSMUSG00000066877","ENSMUSG00000066877","protein_coding","Nck2","chr1"
"ENSMUSG00000026051","ENSMUSG00000026051","protein_coding","1500015O10Rik","chr1"
"ENSMUSG00000100635","ENSMUSG00000100635","lincRNA","Gm29157","chr1"
"ENSMUSG00000100480","ENSMUSG00000100480","lincRNA","Gm29156","chr1"
"ENSMUSG00000057363","ENSMUSG00000057363","protein_coding","Uxs1","chr1"
"ENSMUSG00000041763","ENSMUSG00000041763","protein_coding","Tpp2","chr1"
"ENSMUSG00000047343","ENSMUSG00000047343","protein_coding","Mettl21c","chr1"
"ENSMUSG00000091844","ENSMUSG00000091844","protein_coding","Gm8251","chr1"
"ENSMUSG00000026049","ENSMUSG00000026049","protein_coding","Tex30","chr1"
"ENSMUSG00000026047","ENSMUSG00000026047","protein_coding","Kdelc1","chr1"
"ENSMUSG00000041684","ENSMUSG00000041684","protein_coding","Bivm","chr1"
"ENSMUSG00000026048","ENSMUSG00000026048","protein_coding","Ercc5","chr1"
"ENSMUSG00000046828","ENSMUSG00000046828","protein_coding","Mettl21e","chr1"
"ENSMUSG00000056870","ENSMUSG00000056870","protein_coding","Gulp1","chr1"
"ENSMUSG00000026043","ENSMUSG00000026043","protein_coding","Col3a1","chr1"
"ENSMUSG00000026042","ENSMUSG00000026042","protein_coding","Col5a2","chr1"
"ENSMUSG00000025995","ENSMUSG00000025995","protein_coding","Wdr75","chr1"
"ENSMUSG00000098549","ENSMUSG00000098549","protein_coding","Gm5269","chr1"
"ENSMUSG00000025993","ENSMUSG00000025993","protein_coding","Slc40a1","chr1"
"ENSMUSG00000041144","ENSMUSG00000041144","protein_coding","Dnah7b","chr1"
"ENSMUSG00000101337","ENSMUSG00000101337","protein_coding","Dnah7c","chr1"
"ENSMUSG00000025986","ENSMUSG00000025986","protein_coding","Slc39a10","chr1"
"ENSMUSG00000100213","ENSMUSG00000100213","lincRNA","Gm28151","chr1"
"ENSMUSG00000101447","ENSMUSG00000101447","lincRNA","Gm28826","chr1"
"ENSMUSG00000051616","ENSMUSG00000051616","lincRNA","C230029F24Rik","chr1"
"ENSMUSG00000099608","ENSMUSG00000099608","lincRNA","4933411E06Rik","chr1"
"ENSMUSG00000100451","ENSMUSG00000100451","lincRNA","Gm29665","chr1"
"ENSMUSG00000100816","ENSMUSG00000100816","lincRNA","Gm28321","chr1"
"ENSMUSG00000026109","ENSMUSG00000026109","protein_coding","Tmeff2","chr1"
"ENSMUSG00000100671","ENSMUSG00000100671","lincRNA","Gm28322","chr1"
"ENSMUSG00000099625","ENSMUSG00000099625","lincRNA","Gm29325","chr1"
"ENSMUSG00000045954","ENSMUSG00000045954","protein_coding","Sdpr","chr1"
"ENSMUSG00000101702","ENSMUSG00000101702","lincRNA","1700072G22Rik","chr1"
"ENSMUSG00000026107","ENSMUSG00000026107","protein_coding","Nabp1","chr1"
"ENSMUSG00000099413","ENSMUSG00000099413","lincRNA","Gm17767","chr1"
"ENSMUSG00000101741","ENSMUSG00000101741","lincRNA","Gm28055","chr1"
"ENSMUSG00000018417","ENSMUSG00000018417","protein_coding","Myo1b","chr1"
"ENSMUSG00000062939","ENSMUSG00000062939","protein_coding","Stat4","chr1"
"ENSMUSG00000109599","ENSMUSG00000109599","lincRNA","Gm45679","chr1"
"ENSMUSG00000026104","ENSMUSG00000026104","protein_coding","Stat1","chr1"
"ENSMUSG00000026103","ENSMUSG00000026103","protein_coding","Gls","chr1"
"ENSMUSG00000002881","ENSMUSG00000002881","protein_coding","Nab1","chr1"
"ENSMUSG00000100120","ENSMUSG00000100120","lincRNA","Gm553","chr1"
"ENSMUSG00000099878","ENSMUSG00000099878","lincRNA","Gm28178","chr1"
"ENSMUSG00000043015","ENSMUSG00000043015","protein_coding","Nemp2","chr1"
"ENSMUSG00000041439","ENSMUSG00000041439","protein_coding","Mfsd6","chr1"
"ENSMUSG00000026102","ENSMUSG00000026102","protein_coding","Inpp1","chr1"
"ENSMUSG00000041426","ENSMUSG00000041426","protein_coding","Hibch","chr1"
"ENSMUSG00000043629","ENSMUSG00000043629","protein_coding","1700019D03Rik","chr1"
"ENSMUSG00000026100","ENSMUSG00000026100","protein_coding","Mstn","chr1"
"ENSMUSG00000060715","ENSMUSG00000060715","protein_coding","1700019A02Rik","chr1"
"ENSMUSG00000026098","ENSMUSG00000026098","protein_coding","Pms1","chr1"
"ENSMUSG00000026097","ENSMUSG00000026097","protein_coding","Ormdl1","chr1"
"ENSMUSG00000100679","ENSMUSG00000100679","protein_coding","Gm28778","chr1"
"ENSMUSG00000026096","ENSMUSG00000026096","protein_coding","Osgepl1","chr1"
"ENSMUSG00000099913","ENSMUSG00000099913","protein_coding","Gm28551","chr1"
"ENSMUSG00000026095","ENSMUSG00000026095","protein_coding","Asnsd1","chr1"
"ENSMUSG00000096141","ENSMUSG00000096141","protein_coding","Dnah7a","chr1"
"ENSMUSG00000026094","ENSMUSG00000026094","protein_coding","Stk17b","chr1"
"ENSMUSG00000042807","ENSMUSG00000042807","protein_coding","Hecw2","chr1"
"ENSMUSG00000025983","ENSMUSG00000025983","protein_coding","Ccdc150","chr1"
"ENSMUSG00000041303","ENSMUSG00000041303","protein_coding","Gtf3c3","chr1"
"ENSMUSG00000109809","ENSMUSG00000109809","lincRNA","Gm34066","chr1"
"ENSMUSG00000073678","ENSMUSG00000073678","protein_coding","Pgap1","chr1"
"ENSMUSG00000052331","ENSMUSG00000052331","protein_coding","Ankrd44","chr1"
"ENSMUSG00000025982","ENSMUSG00000025982","protein_coding","Sf3b1","chr1"
"ENSMUSG00000025981","ENSMUSG00000025981","protein_coding","Coq10b","chr1"
"ENSMUSG00000025980","ENSMUSG00000025980","protein_coding","Hspd1","chr1"
"ENSMUSG00000073676","ENSMUSG00000073676","protein_coding","Hspe1","chr1"
"ENSMUSG00000025979","ENSMUSG00000025979","protein_coding","Mob4","chr1"
"ENSMUSG00000025978","ENSMUSG00000025978","protein_coding","Rftn2","chr1"
"ENSMUSG00000046994","ENSMUSG00000046994","protein_coding","Mars2","chr1"
"ENSMUSG00000025977","ENSMUSG00000025977","protein_coding","Boll","chr1"
"ENSMUSG00000038349","ENSMUSG00000038349","protein_coding","Plcl1","chr1"
"ENSMUSG00000099950","ENSMUSG00000099950","lincRNA","9130227L01Rik","chr1"
"ENSMUSG00000100372","ENSMUSG00000100372","lincRNA","1700003I22Rik","chr1"
"ENSMUSG00000101332","ENSMUSG00000101332","lincRNA","Gm28240","chr1"
"ENSMUSG00000045336","ENSMUSG00000045336","protein_coding","Hsfy2","chr1"
"ENSMUSG00000038331","ENSMUSG00000038331","protein_coding","Satb2","chr1"
"ENSMUSG00000099945","ENSMUSG00000099945","lincRNA","1700126A01Rik","chr1"
"ENSMUSG00000101429","ENSMUSG00000101429","lincRNA","BC055402","chr1"
"ENSMUSG00000097519","ENSMUSG00000097519","lincRNA","4930558J18Rik","chr1"
"ENSMUSG00000038323","ENSMUSG00000038323","protein_coding","1700066M21Rik","chr1"
"ENSMUSG00000048495","ENSMUSG00000048495","protein_coding","Tyw5","chr1"
"ENSMUSG00000025971","ENSMUSG00000025971","protein_coding","9430016H08Rik","chr1"
"ENSMUSG00000038305","ENSMUSG00000038305","protein_coding","Spats2l","chr1"
"ENSMUSG00000054770","ENSMUSG00000054770","protein_coding","Kctd18","chr1"
"ENSMUSG00000026039","ENSMUSG00000026039","protein_coding","Sgol2a","chr1"
"ENSMUSG00000063558","ENSMUSG00000063558","protein_coding","Aox1","chr1"
"ENSMUSG00000064294","ENSMUSG00000064294","protein_coding","Aox3","chr1"
"ENSMUSG00000038242","ENSMUSG00000038242","protein_coding","Aox4","chr1"
"ENSMUSG00000079554","ENSMUSG00000079554","protein_coding","Aox2","chr1"
"ENSMUSG00000051223","ENSMUSG00000051223","protein_coding","Bzw1","chr1"
"ENSMUSG00000026034","ENSMUSG00000026034","protein_coding","Clk1","chr1"
"ENSMUSG00000026035","ENSMUSG00000026035","protein_coding","Ppil3","chr1"
"ENSMUSG00000026036","ENSMUSG00000026036","protein_coding","Nif3l1","chr1"
"ENSMUSG00000026037","ENSMUSG00000026037","protein_coding","Orc2","chr1"
"ENSMUSG00000085054","ENSMUSG00000085054","lincRNA","Gm15834","chr1"
"ENSMUSG00000038174","ENSMUSG00000038174","protein_coding","Fam126b","chr1"
"ENSMUSG00000026032","ENSMUSG00000026032","protein_coding","Ndufb3","chr1"
"ENSMUSG00000047528","ENSMUSG00000047528","protein_coding","Als2cr12","chr1"
