,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
AT5G26749,0.38493182117778,0.0760160440715263,0.0309102650047407,0.00388002408550353,0.230091801243488,0.0285978654222317,0.0154358213502896,0,0,0,0,AT5G26749,AT5G26749
FAR1,0.361206181753085,0,0.00329389834457778,0.0367999764466109,0.189857544650079,0.0259754395585319,0.0577555112250264,0,0.0403808858089263,0.00714292571933294,0,AT4G15090,FAR1
ULT2,0.355119532466749,0.176242107946791,0,0,0.178877424519958,0,0,0,0,0,0,AT2G20825,ULT2
AT2G33720,0.157034611871632,0,0,0.00414518900343642,0.152889422868195,0,0,0,0,0,0,AT2G33720,AT2G33720
AMS,0.129131872175101,0,0,0.00622852233676976,0.122903349838331,0,0,0,0,0,0,AT2G16910,AMS
NF-YA2,0.188031898940588,0,0,0.00620407063983687,0.107483285233502,0.00423728813559322,0.070107254931656,0,0,0,0,AT3G05690,NF-YA2
ERF73,0.142871090163058,0,0,0,0.0967608139282243,0.00754438558125005,0.00530232294938177,0,0,0.0220004556048154,0.0112631120993861,AT1G72360,ERF73
AT1G18335,0.184235887043577,0.0117708420262038,0.0306124766360063,0,0.0945169118439615,0.0145607173676145,0.00741872506578389,0.00628719161623914,0.019069022487768,0,0,AT1G18335,AT1G18335
AT4G00390,0.0720931342019647,0,0,0,0.0720931342019647,0,0,0,0,0,0,AT4G00390,AT4G00390
AT3G18870,0.0792085527608168,0,0,0.0103951890034364,0.0623163577693564,0,0,0,0.00649700598802395,0,0,AT3G18870,AT3G18870
AT1G76880,0.0660209735045368,0,0,0,0.0619493395702027,0,0,0,0.00407163393433416,0,0,AT1G76880,AT1G76880
HB28,0.0890807225378343,0.0117708420262038,0.00937331200948981,0.012041041887767,0.0558955266143737,0,0,0,0,0,0,AT3G50890,HB28
NF-YA6,0.0513147863222371,0,0,0,0.0417796591400511,0,0.00953512718218601,0,0,0,0,AT3G14020,NF-YA6
4-Sep,0.0611409778719228,0,0.0204991997820684,0,0.0406417780898544,0,0,0,0,0,0,AT2G03710,4-Sep
FD,0.0520587437051621,0,0,0.0109840460989231,0.0310312463337375,0,0,0,0.0100434512725016,0,0,AT4G35900,FD
AT3G07500,0.0542368332914964,0,0,0,0.02848841252797,0.0257484207635265,0,0,0,0,0,AT3G07500,AT3G07500
AGL67,0.0231122088482841,0,0,0,0.0231122088482841,0,0,0,0,0,0,AT1G77950,AGL67
AT1G61970,0.0397401477462073,0,0,0,0.0222066097149415,0,0.00678551532033426,0,0,0,0.0107480227109315,AT1G61970,AT1G61970
DUO1,0.0146995609774651,0,0,0,0.00918795466363041,0,0.00551160631383472,0,0,0,0,AT3G60460,DUO1
AGL13,0.0107319262757346,0,0,0,0.00860420650095603,0,0.0021277197747786,0,0,0,0,AT3G61120,AGL13
AGL62,0.00764818355640536,0,0,0,0.00764818355640536,0,0,0,0,0,0,AT5G60440,AGL62
TDF1,0.00669216061185469,0,0,0,0.00669216061185469,0,0,0,0,0,0,AT3G28470,TDF1
